Braess_1_4200_10_c1_k3_discount0.8_window20_randomInit_12h7m55s.txt;Braess_1_4200_10_c1_k3_discount0.8_window10_randomInit_12h7m40s.txt;Braess_1_4200_10_c1_k3_discount0.8_window50_sequentialInit_12h8m37s.txt;Braess_1_4200_10_c1_k3_discount0.9_window20_randomInit_12h9m11s.txt;Braess_1_4200_10_c1_k3_discount0.99_window50_randomInit_12h10m54s.txt;Braess_1_4200_10_c1_k3_discount0.9_window10_sequentialInit_12h9m4s.txt;Braess_1_4200_10_c1_k3_discount0.99_window20_randomInit_12h10m32s.txt;Braess_1_4200_10_c1_k3_discount0.99_window50_sequentialInit_12h11m14s.txt;Braess_1_4200_10_c1_k3_discount0.9_window10_randomInit_12h8m57s.txt;Braess_1_4200_10_c1_k3_discount0.8_window20_sequentialInit_12h8m6s.txt;Braess_1_4200_10_c1_k3_discount0.99_window20_sequentialInit_12h10m43s.txt;Braess_1_4200_10_c1_k3_discount0.99_window10_sequentialInit_12h10m24s.txt;Braess_1_4200_10_c1_k3_discount0.8_window10_sequentialInit_12h7m47s.txt;Braess_1_4200_10_c1_k3_discount0.9_window20_sequentialInit_12h9m23s.txt;Braess_1_4200_10_c1_k3_discount0.9_window50_randomInit_12h9m36s.txt;Braess_1_4200_10_c1_k3_discount0.9_window50_sequentialInit_12h9m55s.txt;Braess_1_4200_10_c1_k3_discount0.8_window50_randomInit_12h8m17s.txt;Braess_1_4200_10_c1_k3_discount0.99_window10_randomInit_12h10m16s.txt
15.0005;20.0;20.0;18.5531570295;15.5844450113;20.0;15.5571439909;20.0;15.5871456916;20.0;20.0;20.0;20.0;20.0;15.0007086168;20.0;15.0005;15.5382324263
15.0005;20.0;20.0;15.5357120181;15.5844450113;20.0;15.5571439909;20.0;20.0;20.0;20.0;20.0;20.0;20.0;15.0007086168;20.0;15.0005;15.5382324263
15.0005;20.0;20.0;17.5004132653;15.5844450113;20.0;15.5571439909;20.0;15.2828344671;20.0;20.0;20.0;20.0;20.0;15.0007086168;20.0;15.0005;20.0
15.0005;15.0000283447;20.0;16.3956672336;15.5844450113;20.0;15.5571439909;20.0;17.7476876417;20.0;20.0;20.0;20.0;20.0;15.0007086168;20.0;15.0005;20.0
15.2780277778;15.0000283447;20.0;18.5968713152;15.5844450113;20.0;15.5571439909;20.0;15.5871456916;20.0;20.0;20.0;20.0;20.0;15.0007086168;20.0;15.0005;20.0
18.6446944444;15.0000283447;20.0;15.5357120181;15.5844450113;20.0;15.5571439909;20.0;18.5937193877;20.0;20.0;20.0;20.0;20.0;15.0007086168;20.0;20.0;15.5382324263
17.50025;15.0000283447;20.0;16.3389280045;17.8404903628;20.0;15.5571439909;20.0;15.282574263;20.0;20.0;20.0;20.0;20.0;15.0007086168;20.0;20.0;15.5382324263
18.6446944444;15.0000283447;20.0;17.5004132653;17.5007346939;20.0;15.5571439909;20.0;15.5871456916;20.0;20.0;20.0;20.0;20.0;15.0007086168;20.0;20.0;15.5382324263
18.6446944444;15.0000283447;20.0;18.5531570295;18.623845805;20.0;15.5571439909;20.0;15.3045997732;20.0;20.0;20.0;20.0;20.0;15.0007086168;20.0;15.0005;15.5382324263
17.7777777778;15.0000283447;20.0;17.2095702948;20.0;20.0;15.5571439909;20.0;15.5871456916;20.0;20.0;20.0;20.0;20.0;15.5518010204;20.0;15.0005;15.5382324263
18.6446944444;20.0;20.0;18.6673611111;15.5844450113;20.0;15.5571439909;20.0;15.5871456916;20.0;20.0;20.0;20.0;20.0;15.5518010204;20.0;15.0005;15.5382324263
17.50025;20.0;20.0;16.1126995465;15.5844450113;20.0;20.0;20.0;15.5871456916;20.0;20.0;20.0;20.0;20.0;15.5518010204;20.0;15.0005;15.5382324263
17.50025;20.0;20.0;18.6126989796;15.5844450113;20.0;20.0;20.0;20.0;20.0;20.0;20.0;20.0;20.0;15.5518010204;20.0;15.0005;15.5382324263
20.0;15.0000283447;20.0;17.5011479592;15.5844450113;20.0;20.0;20.0;15.2828344671;20.0;20.0;20.0;20.0;20.0;20.0;20.0;20.0;20.0
15.2780277778;15.0000283447;20.0;17.785770975;15.5844450113;20.0;15.5571439909;20.0;17.7476876417;20.0;20.0;20.0;20.0;20.0;15.0007086168;20.0;20.0;20.0
